course_code	name	org_total_credits	org_type	org_lecture_credits	org_tutorial	org_practical	org_self_study	org_half_semester	org_prerequisite	org_text_reference	org_content	modtime	
AAE451	Aircraft Design	4	L 	0	0	0	0	N	""	""	""		
AE 102	Data Analysis and Interpretation	6	T 	2	1	0	0	N	""	""	""		
AE 152	Introduction to Aerospace Engg.	6	T 	6	1	0	0	N	Nil	Ojha S.K., Flight Performance of Aircraft, AIAA Series, 1995.Anderson, J.D., Introduction to Flight, McGraw Hill, 1989. Hale, J.F., Introduction to Aircraft Performance, Selection and Design, John Wiley, 1984.	"Nomenclature of aircraft components. Standard atmosphere. Basic Aerodynamics : Streamlines, steady fluid motion, incompressible flow, Bernoulli""s equation,Mach number, Pressure and airspeed measurement, Boundary Layer,Reynolds number, Laminar and Turbulent flow. Airfoils and wings: pressure coefficient and lift calculation, Critical Mach number, Wave drag, Finite wings, Induced drag, Swept wings. Aircraft performance: steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up, V-n diagram, Take off and landing. Reentry vehicles: Ballistic and Glide Reentry, Blunt body concept."	2014-06-25 14:11:38.380619	
AE 153	Introduction to Aerospace Engg.	8	T 	3	1	0	0	N	""	""	""		
AE 201	Flight Mechanics I	6	T 	2	1	0	0	N	Nil	x	x	2004-01-21 10:17:24	
AE 202	Thermodynamics	6	T 	2	0	1	0	N	Nil	Nag, P.K. Engineering Thermodynamics, Tata McGraw Hill Co.,Emmanuel G., Advanced Classical Thermodynamics, AIAA Ed. Series, 1987.	"Basic concepts :Scope and Method of Thermodynamics; System-Boundary, Surroundings; State, Stable Equilibrium, State Co-ordinates and parameters, Extensive and Intensive Parameters; Energy interactions,Work and Heat transfers, Equilibrium, Quasistatic and Reversible process, Non-equilibrium and Irreversible Processes; Zeroth Law and Temperature, First Law and Internal Energy; Second Law - Entropy and Absolute Temperature; Third Law and Absolute Entropy;Thermodynamics of simple compressible systems, State postulate, Fundamental Representations, Thermodynamic Potentials; Jacobeam and Legender Transformations - Maxwell""s Equations, Derivation of thermodynamic properties. Applications: Closed and open systems, Polytropic processes, Cyclic process - Carnot""s cycle; Gas and vapour power cycles; Gas and vapour Refrigeration cycles; Operating Hardware of Engines; Mixtures of gases and vapours, Elements of Combustion; Elements of Heat Transfer, One-D compressible flow, isentropic flow, flow with friction and heat transfer, normal shock. Introduction to Aerospace power plants."	2009-06-03 10:53:50.522478	
AE 203	Continuum Mechanics	8	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:23	
AE 204	Measurements and Instrumentation	6	T 	2	1	0	0	N	Nil	x	x	2004-01-21 10:20:28	
AE 205	Solid Mechanics	8	T 	3	1	0	0	N	""	""	""		
AE 206	Fluid Mechanics	6	T 	6	1	0	0	N	Nil	"Douglas, J.F., Gasiorek, J.M. and Swaffield, J.A., ""Fluid Mechanics"", Longman ELBS, 1992. White F.M., Fluid Mechanics, McGraw Hill, 1979."	Fluid properties, real and ideal fluid, fluid statics, buoyancy. Classification of flows:compressible and incompressible flows, steady and unsteady flows, uniform and non-uniform flows, laminar and turbulent flows, continuity equation, momentum equation and applications, energy equation and applications.  Ideal fluid flow: irrotational flow, velocity potential, source, doublet, vortex, circulation and vorticity, flowpast circular cylinder and sphere. Real fluid flow: Boundary layer, drag, incompressible internal and external flows, one dimensional compressible flow; dimensional analysis and similarity.	2003-04-03 16:18:14	
AE 207	Introduction to Engineering Design	6	T 	2	2	0	0	N	Nil	1. Dieter, G. E., Engineering Design: a materials and processing approach, McGraw Hill International Series, 2000. \015\0122. Ullman, D. G., Mechanical Design Process, McGraw Hill, 2004.\015\0123. Ulrich, K. T. and Eppinger, S. D., Product Design and Development, Irwin McGraw Hill, 2000.\015\0124. Eide,R.,  Jenison, R. D.,  Marshaw , L. H.,  and Northup L. R., Introduction to Engineering Design, McGraw Hill Basic Engineering Series and Tools, 1998. 	Background and introduction: Importance of engineering design, life cycle of a product, engineering design process.\015\012Overview of engineering design process: Steps involved in the design process, communication during the design process, team behavior and tools, Delta design exercise.\015\012Identification and understanding of customer needs:  Requirements capture, development of product design specifications, quality function deployment (QFD) technique, case studies in QFD.\015\012Concept generation: Generating engineering specifications, functional analysis and design, concept generation methods, creativity and problem solving, creativity method, creative idea evaluation, TRIZ, axiomatic design.\015\012Concept evaluation: Information representation, concept evaluation overview, evaluation techniques based on 1) feasibility judgment, 2) GO-NO-GO screening, 3) technological readiness, 4) basic decision matrix (Pugh\302\222s Method).\015\012Cost estimation: Cost categories, methods of cost estimation, cost indices, cost capacity factors; activity based costing, learning curve.\015\012Economic decision making: Time value of money, cost comparison, profitability of investment, sensitivity and break even analysis.\015\012Professionalism and ethics: Laws, contracts, liabilities, intellectual property, professional behavior, ethics	2009-06-03 10:21:59.208519	
AE 208	Aerospace Structures I	6	T 	0	0	0	0	 	""	""	""	2004-10-18 15:57:24	
AE 209	Solid Mechanics	8	T 	3	0	1	0	N	Nil	1. Gere, J. M., ``Mechanics of Materials``, Thomson, 6th ed. 2007.\015\0122. Crandall, S.H., Dahl, N.C. and Lardner, T.J. ``An Introduction to the Mechanics of Materials``, McGraw-Hill, International Edition, 1978.\015\0123. Timoshenko, S.P. and Goodier, J.N. ``Theory of Elasticity``, McGraw-Hill, International Edition, 1970.	Introduction: Engg. statics vs solid mechanics, solid as a continuum, statement of a general solid mechanics problem.\015\012\015\012Elements of 2-D & 3-D Elasticity: components of stress & strain fields, stress/strain transformation, principal stresses, plane stress/strain, Mohr\302\222s circle, equilibrium equations, strain displacement relations, compatibility conditions, natural & kinematic boundary conditions, stress-strain relations, generalized Hooke\302\222s Law - isotropy, orthotropy, anisotropy. Displacement and force methods of analysis. Concepts of linear and nonlinear problems. Illustration of linear elasticity solutions - problems in 2-D (rectangular and polar co-ordinates), stress function approach. St. Venant\302\222s principle.\015\012\015\012Material behaviour: introduction to metallic and non-metallic materials of aerospace interest, awareness/overview of structure of materials. Ductile, brittle, elasto-plastic and viscoelastic material behaviour - Elastic and strength properties. Composite materials. Materials selection. Failure of engineering materials, failure theories, concepts of fatigue, fracture and creep.\015\012\015\0121-D structural analysis: slender structural elements, assumptions simplifying the general (3-d) stress, strain and deformation fields for uncoupled axial deformation, uncoupled bending, and uncoupled twisting of slender 1-D elements and development of corresponding elementary theories (Elementary Beam Theory, Elementary Torsion theory), idealization of general loads into axial forces, bending moments, shear forces and torque distributions, deflection and stress analysis of rods, beams and circular shafts. Introduction to energy methods \302\226 strain energy, virtual work, minimum potential energy and its application. \015\012\015\012Measurement of strain and displacement. Measurement of elastic and strength properties. ASTM standards.\015\012	2009-06-03 10:20:10.118044	
AE 210	Aircraft Production	6	T 	2	0	2	0	N	Nil	 D.F. Horne, Aircraft Production Technology, Cambridge University Press, 1986. \015\012S.C. Keshu and K.K. Ganapathi, Aircraft Production,Interline Publishing, 1993. \015\012M.M. Schwartz (ed.),Composite Materials Handbook, McGraw-Hill, 1992. 	Introduction to metal forming,machining and joining processes. Classification of aircraft parts. Aircraft materials. Aircraft production fundamentals. Loft-template method. Computer-aided manufacturing. Aircraft tooling concepts. Forming processes: Rubber-pad forming, Stretch-bending, stretch-wrap forming, high energy rate forming. Unconventional machining processes. Casting processes. Manufacturing processes for typical aircraft and aeroengine parts. Adhesive bonding, riveting, detachable joints, honeycomb sandwich construction. Design and fabrication of tooling. Aircraft assembly techniques and tooling. Heat treatment.Surface treatments, protective treatments and coatings.  Fabrication, machining and joining of FRP composite structures. Characteristics of aerospace vehicle construction. 	2003-04-03 16:18:14	
AE 211	Solid Mechanics Lab	1.5	L 	0	0	0	0	 	""	""	""	2004-10-18 15:57:20	
AE 212	Instrumentation Laboratory	3	L 	5	0	3	0	N	Nil	Nil 	Experiments on analogue devices such as diodes, transistors, operational amplifiers. Digital circuit introduction using flip-flops, gates and microprocessor. Experiments in aerodynamics, propulsion and structures labs.for familiarization with engineering measurements. 	2003-11-28 11:20:08	
AE 213	Aerospace Structures I	6	T 	6	1	0	0	N	Nil	Gere J.M. and Timoshenko, S.P., Mechanics of Materials, CBS Publishers, 1986. \015\012Byars E.F., Snyder R.D. and Plants H.L., Engineering Mechanics of Deformable Bodies, 4th Ed., Harper and Row Publishers, 1983.  \015\012S.P. Timoshenko and J.N. Goodier, Theory of Elasticity, 3rd ed. McGraw Hill Book Co., 1982.	Introduction to Matter-Environment and Interactions. Concepts of Force fields, Equilibrium and Compatibility, techniques and practices for writing internal force diagrams (AFD/TD/SFD& BMD). Theory of deformation of ID continuum subjected to axial,torsional, bending and buckling loads. States of stress/strain at a point. Principle stresses and strains. Stress/strain transformations and Mohrs circle. Failure mechanisms,design of one-dimensional structures and joints.	2003-04-03 16:18:14	
